"id","arus_R","arus_S","arus_T","tegangan_R","tegangan_S","tegangan_T","daya_R","daya_S","daya_T","frekuensi_R","frekuensi_S","frekuensi_T","arus_netral","beban_1","beban_2","beban_3","beban_4","beban_5","beban_6","beban_7","beban_8","timestamp"
"1","0.12","0.12","0.00","229.90","230.00","229.80","6.70","6.50","0.00","49.90","49.90","49.90","0.21","0.00","0.20","0.44","0.20","0.20","0.20","0.21","1.24","2025-07-06 16:21:50"
"2","0.12","0.12","0.00","229.80","229.90","229.70","6.70","6.60","0.00","50.00","49.90","50.00","0.20","0.00","0.00","0.40","0.21","0.00","0.20","0.21","1.19","2025-07-06 16:21:54"
"3","0.12","0.12","0.00","229.80","229.90","229.70","6.60","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.41","0.00","0.00","0.20","0.20","1.18","2025-07-06 16:21:58"
"4","0.12","0.12","0.00","230.00","230.10","229.90","6.70","6.50","0.00","50.00","50.10","50.00","0.20","0.00","0.20","0.36","0.00","0.00","0.20","0.21","1.20","2025-07-06 16:22:02"
"5","0.12","0.12","0.00","229.90","230.00","229.80","6.70","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.36","0.00","0.00","0.20","0.21","1.16","2025-07-06 16:22:07"
"6","0.12","0.12","0.00","229.80","229.90","229.70","6.70","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.33","0.20","0.00","0.20","0.21","1.20","2025-07-06 16:22:11"
"7","0.12","0.12","0.00","229.50","229.60","229.40","6.70","6.50","0.00","49.90","49.90","49.90","0.20","0.00","0.00","0.38","0.00","0.00","0.00","0.21","1.19","2025-07-06 16:22:16"
"8","0.12","0.12","0.00","229.90","230.00","229.90","6.60","6.40","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.35","0.00","0.00","0.00","0.20","1.06","2025-07-06 16:24:27"
"9","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.33","0.20","0.20","0.00","0.20","1.08","2025-07-06 16:24:31"
"10","0.12","0.12","0.00","230.00","230.10","229.90","6.50","6.40","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.34","0.00","0.00","0.00","0.21","1.05","2025-07-06 16:24:35"
"11","0.11","0.11","0.00","229.90","230.00","229.80","6.80","6.70","0.00","49.90","49.90","49.90","1.15","0.87","0.60","5.74","0.48","0.55","1.01","0.48","5.76","2025-07-06 16:24:44"
"12","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.50","0.00","49.90","49.90","49.90","0.26","0.25","0.22","1.42","0.22","0.23","0.28","0.24","1.64","2025-07-06 16:24:48"
"13","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.21","0.00","0.00","0.54","0.00","0.00","0.20","0.20","0.86","2025-07-06 16:24:53"
"14","0.12","0.12","0.00","230.00","230.10","229.90","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","1.36","0.00","0.00","0.00","0.00","3.24","2025-07-06 16:24:57"
"15","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.55","0.00","0.00","0.00","0.21","2.03","2025-07-06 16:25:02"
"16","0.12","0.12","0.00","230.40","230.40","230.30","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.36","0.00","0.00","0.00","0.20","1.03","2025-07-06 16:25:06"
"17","0.12","0.12","0.00","230.20","230.30","230.20","6.60","6.40","0.00","49.90","50.00","50.00","0.19","0.00","0.00","0.33","0.00","0.00","0.00","0.00","0.79","2025-07-06 16:25:11"
"18","0.12","0.12","0.00","230.30","230.40","230.20","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.32","0.00","0.00","0.00","0.00","0.74","2025-07-06 16:25:20"
"19","0.12","0.12","0.00","230.10","230.20","230.10","6.60","6.50","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.64","2025-07-06 16:25:38"
"20","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.22","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:25:42"
"21","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.24","0.00","0.00","0.00","0.20","0.67","2025-07-06 16:25:47"
"22","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.40","0.00","49.90","19.90","49.90","0.19","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.67","2025-07-06 16:25:51"
"23","0.00","6.50","0.00","230.10","0.12","0.00","49.90","49.90","49.90","230.20","230.00","0.19","0.00","1.00","0.23","0.00","0.00","0.00","0.20","0.66","0.00","2025-07-06 16:25:55"
"24","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.44","0.00","0.00","0.00","0.00","0.86","2025-07-06 16:26:32"
"25","0.12","0.12","0.00","230.30","230.40","230.20","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.69","2025-07-06 16:27:30"
"26","0.12","0.12","0.00","230.20","230.40","230.20","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.25","0.00","0.00","0.00","0.20","0.74","2025-07-06 16:27:35"
"27","0.12","0.12","0.00","230.30","230.40","230.20","6.60","6.40","0.00","50.00","50.00","50.00","0.18","0.00","0.00","0.24","0.00","0.00","0.00","0.20","0.73","2025-07-06 16:27:39"
"28","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.72","2025-07-06 16:27:44"
"29","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","50.00","50.10","50.00","0.19","0.00","0.00","0.65","0.00","0.00","0.00","0.00","0.73","2025-07-06 16:27:49"
"30","0.11","0.11","0.00","230.30","230.40","230.20","6.80","6.60","0.00","50.00","50.00","50.00","1.14","0.85","0.59","4.17","0.47","0.53","0.99","0.46","4.31","2025-07-06 16:27:53"
"31","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.50","0.00","50.00","50.00","50.00","0.27","0.26","0.22","1.06","0.22","0.22","0.27","0.22","1.13","2025-07-06 16:27:58"
"32","0.12","0.12","0.00","230.00","230.10","229.90","6.60","6.40","0.00","49.90","49.90","49.90","0.20","0.00","0.00","0.33","0.00","0.00","0.21","0.00","0.70","2025-07-06 16:28:02"
"33","0.12","0.12","0.00","230.00","230.10","229.90","6.60","6.40","0.00","49.80","49.80","49.90","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:28:06"
"34","0.12","0.12","0.00","230.20","230.30","230.10","6.50","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:28:11"
"35","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.25","0.00","0.00","0.00","0.20","0.68","2025-07-06 16:28:20"
"36","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.21","0.00","0.00","0.00","0.00","0.70","2025-07-06 16:28:24"
"37","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:28:29"
"38","0.12","0.12","0.00","230.50","230.60","230.40","6.50","6.50","0.00","50.10","50.10","50.10","0.18","0.00","0.00","0.22","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:28:38"
"39","0.12","0.12","0.00","230.60","230.70","230.50","6.50","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.66","2025-07-06 16:28:42"
"40","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.18","0.00","0.00","0.26","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:28:47"
"41","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.50","0.00","50.00","50.00","50.00","0.18","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.67","2025-07-06 16:28:52"
"42","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.50","0.00","50.00","50.00","50.00","0.18","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.64","2025-07-06 16:28:56"
"43","0.12","0.12","0.00","229.80","229.90","229.80","6.50","6.40","0.00","49.90","49.90","49.90","0.18","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:29:00"
"44","0.12","0.12","0.00","230.00","230.10","229.90","6.60","6.40","0.00","49.80","49.80","49.80","0.18","0.00","0.00","0.25","0.00","0.00","0.00","0.00","0.66","2025-07-06 16:29:05"
"45","0.12","0.12","0.00","229.80","229.90","229.70","6.60","6.50","0.00","49.80","49.80","49.80","0.19","0.00","0.00","0.26","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:29:09"
"46","0.12","0.12","0.00","230.00","230.10","229.90","6.60","6.40","0.00","50.00","49.90","49.90","0.19","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:29:18"
"47","0.12","0.12","0.00","229.90","230.00","229.80","6.60","6.40","0.00","50.00","50.00","50.00","0.18","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.67","2025-07-06 16:29:23"
"48","6.60","6.50","0.00","230.40","0.12","0.00","50.00","50.00","50.00","230.50","230.30","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.00","0.00","2025-07-06 16:30:21"
"49","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.50","0.00","50.00","50.00","49.90","0.19","0.00","0.00","0.29","0.00","0.00","0.00","0.00","0.63","2025-07-06 16:30:35"
"50","0.12","0.12","0.00","230.20","230.30","230.10","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.22","0.00","0.00","0.00","0.00","0.62","2025-07-06 16:30:39"
"51","0.12","0.12","0.00","230.50","230.60","230.40","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.20","0.62","2025-07-06 16:30:48"
"52","0.12","0.12","0.00","230.60","230.70","230.50","6.70","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.26","0.00","0.00","0.00","0.00","0.64","2025-07-06 16:30:53"
"53","0.12","0.12","0.00","230.40","230.50","230.40","6.50","6.40","0.00","50.00","49.90","50.00","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.64","2025-07-06 16:30:57"
"54","0.12","0.12","0.00","230.50","230.60","230.40","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:31:06"
"55","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","49.90","49.80","49.80","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.64","2025-07-06 16:31:11"
"56","0.12","0.12","0.00","230.50","230.50","230.40","6.60","6.50","0.00","49.80","49.90","49.90","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.63","2025-07-06 16:31:15"
"57","0.12","0.12","0.00","230.40","230.50","230.30","6.50","6.40","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.20","0.64","2025-07-06 16:31:42"
"58","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.25","0.00","0.00","0.00","0.24","0.65","2025-07-06 16:31:47"
"59","0.12","0.12","0.00","230.30","230.40","230.20","6.60","6.40","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.24","0.00","0.00","0.00","0.00","0.68","2025-07-06 16:31:51"
"60","0.12","0.12","0.00","230.40","230.40","230.30","6.60","6.40","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:32:01"
"61","0.12","0.12","0.00","230.50","230.60","230.40","6.60","6.40","0.00","50.00","50.00","50.00","0.20","0.00","0.00","0.25","0.00","0.00","0.00","0.00","0.65","2025-07-06 16:32:05"
"62","0.12","0.12","0.00","230.60","230.70","230.60","6.60","6.40","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.71","2025-07-06 16:32:09"
"63","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.40","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.72","2025-07-06 16:32:14"
"64","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","50.00","50.00","49.90","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.75","2025-07-06 16:32:41"
"65","0.12","0.12","0.00","230.80","230.90","230.70","6.50","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.71","2025-07-06 16:32:50"
"66","0.12","0.12","0.00","231.10","231.20","231.00","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.70","2025-07-06 16:32:55"
"67","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.20","0.71","2025-07-06 16:33:03"
"68","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.40","0.00","50.00","50.00","49.90","0.19","0.00","0.00","0.26","0.00","0.00","0.00","0.20","0.73","2025-07-06 16:33:08"
"69","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.50","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.74","2025-07-06 16:33:12"
"70","0.12","0.12","0.00","230.30","230.40","230.30","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.00","0.75","2025-07-06 16:33:17"
"71","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.50","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.28","0.00","0.00","0.00","0.20","0.70","2025-07-06 16:33:21"
"72","0.12","0.12","0.00","230.30","230.40","230.20","6.60","6.50","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.20","0.73","2025-07-06 16:33:26"
"73","0.12","0.12","0.00","230.30","230.50","230.30","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.27","0.00","0.20","0.00","0.00","0.70","2025-07-06 16:33:30"
"74","0.12","0.12","0.00","230.50","230.60","230.40","6.60","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","0.27","0.00","0.00","0.00","0.00","0.72","2025-07-06 16:33:35"
"75","0.12","0.12","0.00","230.40","230.50","230.30","6.50","6.40","0.00","49.90","49.90","49.90","0.19","0.00","0.00","14.49","0.00","0.00","0.00","0.00","28.48","2025-07-06 16:33:39"
"76","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","49.90","49.90","50.00","0.19","0.00","0.00","2.42","0.00","0.00","0.00","0.00","18.07","2025-07-06 16:33:44"
"77","0.12","0.12","0.00","230.60","230.70","230.50","6.50","6.50","0.00","50.00","50.00","50.00","0.19","0.21","0.00","8.09","0.00","0.00","0.00","0.00","13.48","2025-07-06 16:33:48"
"78","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.50","0.00","50.00","50.00","50.00","0.20","0.00","0.00","4.67","0.00","0.00","0.00","0.20","21.38","2025-07-06 16:33:53"
"79","0.12","0.12","0.00","230.70","230.80","230.60","6.60","6.50","0.00","50.00","50.00","50.00","0.19","0.00","0.00","2.53","0.00","0.00","0.00","0.00","10.49","2025-07-06 16:33:57"
"80","0.12","0.12","0.00","230.60","230.70","230.60","6.60","6.40","0.00","50.00","50.10","50.10","0.19","0.00","0.20","2.61","0.21","0.00","0.00","0.20","4.96","2025-07-06 16:34:02"
"81","0.12","0.12","0.00","230.50","230.60","230.50","6.60","6.40","0.00","50.00","50.00","50.00","0.19","1.97","0.00","1.33","0.00","0.00","0.00","0.20","3.41","2025-07-06 16:34:06"
"82","0.12","0.12","0.00","230.50","230.50","230.40","6.60","6.50","0.00","50.00","50.00","50.00","0.19","1.17","0.00","0.62","0.00","0.00","0.00","0.00","4.45","2025-07-06 16:34:11"
"83","0.12","0.12","0.00","230.40","230.50","230.30","6.50","6.40","0.00","50.00","49.90","49.90","0.19","1.46","0.00","0.98","0.00","0.00","0.00","0.20","3.90","2025-07-06 16:34:16"
"84","0.12","0.12","0.00","230.70","230.80","230.60","6.50","6.40","0.00","50.00","49.90","50.00","0.19","2.60","0.00","3.12","0.00","0.00","0.00","0.00","42.81","2025-07-06 16:34:20"
"85","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.40","0.00","50.00","50.00","50.00","0.19","1.27","0.76","2.14","0.00","0.00","0.00","0.20","4.15","2025-07-06 16:34:24"
"86","0.12","0.12","0.00","230.40","230.60","230.40","6.60","6.50","0.00","50.00","50.00","50.00","0.19","1.49","0.98","1.07","0.00","0.00","0.00","0.00","4.04","2025-07-06 16:34:29"
"87","0.12","0.12","0.00","230.70","230.80","230.60","6.60","6.40","0.00","50.00","50.00","50.00","0.19","1.14","0.90","0.73","0.00","0.00","0.00","0.00","3.94","2025-07-06 16:34:34"
"88","0.12","0.12","0.00","230.50","230.60","230.40","6.60","6.50","0.00","50.00","50.00","49.90","0.19","5.93","6.90","7.38","0.00","0.00","0.00","0.00","5.70","2025-07-06 16:34:38"
"89","0.12","0.12","0.00","230.60","230.70","230.60","6.60","6.50","0.00","50.00","50.00","50.00","0.19","3.39","3.75","4.60","0.00","0.00","0.00","0.20","26.92","2025-07-06 16:34:42"
"90","0.12","0.12","0.00","230.70","230.80","230.60","6.60","6.40","0.00","50.00","50.00","50.00","0.19","3.05","4.48","3.92","0.00","0.00","0.00","0.00","20.32","2025-07-06 16:34:47"
"91","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","49.90","50.00","49.90","0.19","7.00","10.33","7.85","0.00","0.00","0.00","0.00","10.44","2025-07-06 16:34:51"
"92","0.12","0.12","0.00","230.90","231.00","230.80","6.50","6.40","0.00","49.90","49.90","49.90","0.21","7.49","10.55","8.79","0.00","0.00","0.00","0.00","25.08","2025-07-06 16:34:56"
"93","0.12","0.12","0.00","230.70","230.80","230.60","6.50","6.40","0.00","49.90","49.90","49.90","0.19","3.71","6.53","3.29","8.90","0.00","0.00","0.00","19.83","2025-07-06 16:35:00"
"94","0.12","0.12","0.00","230.90","231.00","230.80","6.50","6.40","0.00","49.90","50.00","50.00","0.19","4.21","4.51","2.77","2.76","0.00","0.00","0.00","21.06","2025-07-06 16:35:05"
"95","0.12","0.12","0.00","230.70","230.80","230.60","6.50","6.50","0.00","49.90","50.00","50.00","0.19","3.04","4.11","5.15","4.96","6.42","0.00","0.00","17.36","2025-07-06 16:35:14"
"96","0.12","0.12","0.00","230.70","230.80","230.60","6.50","6.40","0.00","49.90","49.90","49.90","0.19","7.29","8.84","5.35","11.85","14.04","0.00","0.00","20.02","2025-07-06 16:35:18"
"97","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.40","0.00","49.80","49.80","49.80","0.19","4.63","6.89","9.51","14.45","13.44","0.21","0.00","23.06","2025-07-06 16:35:23"
"98","0.12","0.12","0.00","230.10","230.60","230.40","6.60","6.40","0.00","49.80","49.80","49.80","0.19","14.00","10.51","12.92","15.01","37.39","51.36","0.23","59.17","2025-07-06 16:35:27"
"99","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","49.90","49.90","49.90","0.19","35.33","35.88","40.07","54.77","53.72","55.73","56.20","3.51","2025-07-06 16:35:31"
"100","0.12","0.12","0.00","230.80","230.90","230.70","6.50","6.40","0.00","49.90","50.00","49.90","0.19","8.47","11.17","12.50","12.49","15.35","18.66","18.52","0.84","2025-07-06 16:35:36"
"101","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.40","0.00","49.90","49.90","49.90","0.20","16.01","18.89","24.74","21.12","20.58","24.36","23.48","26.95","2025-07-06 16:35:45"
"102","0.12","0.12","0.00","230.50","230.60","230.40","6.50","6.40","0.00","49.90","49.90","49.90","0.19","24.72","38.71","44.75","44.64","54.78","57.28","58.68","60.04","2025-07-06 16:35:49"
"103","0.12","0.12","0.00","230.40","230.50","230.40","6.60","6.40","0.00","49.90","49.90","49.90","44.01","19.46","30.19","35.38","40.47","45.61","49.40","50.32","52.46","2025-07-06 16:35:54"
"104","0.12","0.12","0.00","230.80","230.90","230.70","6.60","6.40","0.00","49.90","50.00","50.00","36.30","18.61","26.10","18.15","23.40","26.00","27.64","30.51","32.04","2025-07-06 16:35:58"
"105","0.12","0.12","0.00","230.30","230.40","230.30","6.60","6.40","0.00","49.90","49.90","49.90","41.89","24.86","38.20","42.75","47.67","46.22","52.14","44.71","44.97","2025-07-06 16:36:02"
"106","0.12","0.12","0.00","230.00","230.10","229.90","6.50","6.40","0.00","49.90","49.90","49.90","45.72","21.65","35.95","34.37","33.98","35.40","34.42","34.72","52.50","2025-07-06 16:36:07"
"107","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.40","0.00","49.90","49.90","49.90","53.29","36.08","42.15","50.57","55.09","55.87","52.66","45.49","53.34","2025-07-06 16:36:11"
"108","0.12","0.12","0.00","230.40","230.50","230.30","6.60","6.40","0.00","49.90","49.90","49.90","41.55","32.76","34.41","45.99","47.90","41.19","32.38","34.67","38.02","2025-07-06 16:36:16"
"109","0.12","0.12","0.00","230.60","230.70","230.50","6.60","6.40","0.00","49.90","49.90","49.90","47.88","27.70","39.57","37.29","33.73","36.91","37.68","39.50","39.96","2025-07-06 16:36:20"
"110","0.12","0.12","0.00","230.50","230.60","230.40","6.50","6.40","0.00","50.00","50.00","50.00","39.80","23.15","28.78","31.90","34.07","35.73","36.96","38.64","39.43","2025-07-06 16:36:24"
"111","0.12","0.12","0.00","230.70","230.80","230.60","6.60","6.40","0.00","50.10","50.00","50.10","39.43","22.54","28.83","31.84","34.07","35.93","37.51","38.56","39.69","2025-07-06 16:36:28"
"112","0.12","0.12","0.00","230.90","231.00","230.80","6.50","6.40","0.00","50.10","50.10","50.10","39.85","22.59","28.83","32.25","34.32","36.44","38.09","39.58","40.61","2025-07-06 16:36:33"
"113","0.12","0.12","0.00","230.30","230.40","230.20","6.50","6.40","0.00","50.00","50.00","50.00","39.93","25.13","41.41","37.83","45.10","36.15","36.28","36.27","43.25","2025-07-06 16:36:37"
"114","0.12","0.12","0.00","230.20","230.40","230.20","6.60","6.40","0.00","50.00","50.00","50.00","54.83","33.12","41.78","42.62","34.81","36.52","37.78","38.92","41.39","2025-07-06 16:36:42"
"115","0.12","0.12","0.00","230.20","230.30","230.10","6.50","6.40","0.00","50.00","50.00","50.00","60.84","23.76","28.05","30.81","38.61","41.91","38.16","37.38","39.25","2025-07-06 16:36:46"
"116","0.12","0.12","0.00","230.10","230.20","230.00","6.60","6.40","0.00","50.00","50.00","50.00","47.29","22.92","28.26","32.66","34.28","37.20","37.56","39.52","36.73","2025-07-06 16:36:50"
"117","0.12","0.12","0.00","230.20","230.30","230.10","6.50","6.40","0.00","50.00","49.90","50.00","57.63","24.65","32.35","36.88","35.97","36.62","38.25","39.55","40.34","2025-07-06 16:36:55"
"118","0.12","0.12","0.00","230.80","230.90","230.70","6.50","6.40","0.00","50.00","49.90","49.90","37.09","38.31","48.02","52.69","35.50","36.28","37.52","39.09","38.91","2025-07-06 16:36:59"
"119","0.12","0.12","0.00","230.50","230.60","230.40","6.50","6.40","0.00","49.90","49.90","49.90","37.15","29.59","39.31","36.59","45.26","34.65","41.93","32.86","42.44","2025-07-06 16:37:04"
"120","0.12","0.12","0.00","230.60","230.70","230.50","6.50","6.40","0.00","50.00","50.00","50.00","37.03","21.94","28.16","31.11","32.74","34.51","35.81","37.01","37.66","2025-07-06 16:37:08"
